text,labels
جهان چون بزاری برآید همی / بدو نیک روزی سرآید همی,داستان دوازده رخ
چو بستی کمر بر در راه آز / شود کار گیتیت یکسر دراز,داستان دوازده رخ
بیک روی جستن بلندی سزاست / اگر در میان دم اژدهاست,داستان دوازده رخ
و دیگر که گیتی ندارد درنگ / سرای سپنجی چه پهن و چه تنگ,داستان دوازده رخ
پرستنده آز و جویای کین / بگیتی ز کس نشنود آفرین,داستان دوازده رخ
چو سرو سهی گوژ گردد بباغ / بدو بر شود تیره روشن چراغ,داستان دوازده رخ
کند برگ پژمرده و بیخ سست / سرش سوی پستی گراید نخست,داستان دوازده رخ
بروید ز خاک و شود باز خاک / همه جای ترسست و تیمار و باک,داستان دوازده رخ
سر مایهٔ مرد سنگ و خرد / ز گیتی بی آزاری اندر خورد,داستان دوازده رخ
در دانش و آنگهی راستی / گرین دو نیابی روان کاستی,داستان دوازده رخ
اگر خود بمانی بگیتی دراز / ز رنج تن آید برفتن نیاز,داستان دوازده رخ
یکی ژرف دریاست بن ناپدید / در گنج رازش ندارد کلید,داستان دوازده رخ
اگر چند یابی فزون بایدت / همان خورده یک روز بگزایدت,داستان دوازده رخ
سه چیزت بباید کزان چاره نیست / وزو بر سرت نیز پیغاره نیست,داستان دوازده رخ
خوری گر بپوشی و گر گستری / سزد گرد بدیگر سخن ننگری,داستان دوازده رخ
چو زین سه گذشتی همه رنج و آز / چه در آز پیچی چه اندر نیاز,داستان دوازده رخ
چو دانی که بر تو نماند جهان / چه پیچی تو زان جای نوشین روان,داستان دوازده رخ
بخور آنچ داری و بیشی مجوی / که از آز کاهد همی آبروی,داستان دوازده رخ
دل شاه ترکان چنان کم شنود / همیشه برنج از پی آز بود,داستان دوازده رخ
ازان پس که برگشت زان رزمگاه / که رستم برو کرد گیتی سیاه,داستان دوازده رخ
بشد تازیان تا بخلخ رسید / بننگ از کیان شد سرش ناپدید,داستان دوازده رخ
بکاخ اندر آمد پرآزار دل / ابا کاردانان هشیاردل,داستان دوازده رخ
چو پیران و گرسیوز رهنمون / قراخان و چون شیده و گرسیون,داستان دوازده رخ
برایشان همه داستان برگشاد / گذشته سخنها همه کرد یاد,داستان دوازده رخ
که تا برنهادم بشاهی کلاه / مرا گشت خورشید و تابنده ماه,داستان دوازده رخ
مرا بود بر مهتران دسترس / عنان مرا برنتابید کس,داستان دوازده رخ
ز هنگام رزم منوچهر باز / نبد دست,داستان دوازده رخ
شبیخون کند تا در خان من / از ایران بیازند بر جان من,داستان دوازده رخ
دلاور شد آن مردم نادلیر / گوزن اندر آمد ببالین شیر,داستان دوازده رخ
برین کینه گر کار سازیم زود / وگرنه برآرند زین مرز دود,داستان دوازده رخ
سزد گر کنون گرد این کشورم / سراسر فرستادگان گسترم,داستان دوازده رخ
ز ترکان وز چین هزاران هزار / کمربستگان از در کارزار,داستان دوازده رخ
بیاریم بر گرد ایران سپاه / بسازیم هر سو یکی رزمگاه,داستان دوازده رخ
همه موبدان رای هشیار خویش / نهادند با گفت سالار خویش,داستان دوازده رخ
که ما را ز جیحون بباید گذشت / زدن کوس شاهی بران پهن دشت,داستان دوازده رخ
بموی لشکر گهی ساختن / شب و روز نسودن از تاختن,داستان دوازده رخ
که آن جای جنگست و خون ریختن / چه با گیو و با رستم آویختن,داستان دوازده رخ
سرافراز گردان گیرنده شهر / همه تیغ کین آب داده به زهر,داستان دوازده رخ
چو افراسیاب آن سخنها شنود / برافروخت از بخت و شادی نمود,داستان دوازده رخ
ابر پهلوانان و بر موبدان / بکرد آفرینی برسم ردان,داستان دوازده رخ
نویسندهٔ نامه را پیش خواند / سخنهای بایسته چندی براند,داستان دوازده رخ
فرستادگان خواست از انجمن / بنزدیک فغفور و شاه ختن,داستان دوازده رخ
فرستاد نامه به هر کشوری / بهر نامداری و هر مهتری,داستان دوازده رخ
سپه خواست کاندیشهٔ جنگ داشت / ز بیژن بدان گونه دل تنگ داشت,داستان دوازده رخ
دو هفته برآمد ز چین و ختن / ز هر کشوری شد سپاه انجمن,داستان دوازده رخ
چو دریای جوشان زمین بردمید / چنان شد که کس روز روشن ندید,داستان دوازده رخ
گله هرچ بودش ز اسبان یله / بشهر اندر آورد یکسر گله,داستان دوازده رخ
همان گنجها کز گه تور باز / پدر بر پسر بر همی داشت راز,داستان دوازده رخ
سر بدره ها را گشادن گرفت / شب و روز دینار دادن گرفت,داستان دوازده رخ
چو لشکر سراسر شد آراسته / بدان بی نیازی شد از خواسته,داستان دوازده رخ
ز گردان گزین کرد پنجه هزار / همه رزم جویان سازنده کار,داستان دوازده رخ
بشیده که بودش نبرده پسر / ز گردان جنگی برآورده سر,داستان دوازده رخ
بدو گفت کین لشکر سرفراز / سپردم ترا راه خوارزم ساز,داستان دوازده رخ
نگهبان آن مرز خوارزم باش / همیشه کمربستهٔ رزم باش,داستان دوازده رخ
دگر پنجه از نامداران چین / بفرمود تا کرد پیران گزین,داستان دوازده رخ
بدو گفت تا شهر ایران برو / ممان رخت و مه تخت,داستان دوازده رخ
در آشتی هیچ گونه مجوی / سخن جز بجنگ و بکینه مگوی,داستان دوازده رخ
