name,regex
آبتین,آبتین|آبتین|پرگاو|آثویه|آپتیه
ابراهیم (پیامبر),ابراهیم 
ابوبکر,ابوبکر
آزادسرو,آزادسرو
آزادسرو(موبد),آزادسرو
آذرنوش,آذرنوش|نوش‌آذر
ارتنگ,ارتنگ
ارجاسب,ارجاسب|ارجاسپ
اردشیر بابکان,اردشیر بابکان
اردشیر نکوکار,اردشیر نکوکار
اردشیر دوم,اردشیر دوم
اردشیر پسر شیرویه,اردشیر پسر شیرویه
اردشیر (موبد موبدان),اردشیر 
آرزو (دختر ماهیار),آرزو 
آرزو (زن سلم),آرزو |آرزو
ارژنگ دیو,ارژنگ دیو|ارژنگ|ارژنگ سالار
ارسطالیس,ارسطالیس
آرش کمانگیر,آرش کمانگیر
آرش پور کیقباد,آرش پور کیقباد
آرش اشکانی,آرش اشکانی|آرش
آرش پدر منوچهر,آرش پدر منوچهر
ارمایل,ارمایل|ارمایل|پارسا
ارنواز,ارنواز|ارنواز
آزاده(معشوقه بهرام گور),آزاده|آزاده
آزاده(زن تور),آزاده|آزاده
آزرمی‌دخت,آزرمی‌دخت
اسپنوی,اسپنوی|اسپنوی
استاد پسر پیروز,استاد پسر پیروز
استقیلا,استقیلا|استقیلا
اسرافیل,اسرافیل
اسفندیار,اسفندیار|اسفندیار|اسپندیار
اسکندر,اسکندر
اسماعیل بن ابراهیم,اسماعیل بن ابراهیم
اشک,اشک
اشتاد پسر پیروز,اشتاد پسر پیروز
اشکبوس,اشکبوس|اشک‌بوس
اشکش,اشکش|اشکش
اغریرث,اغریرث|اغریرث
افلاطون,افلاطون
اکوان دیو,اکوان دیو
الان شاه,الان شاه
الکوس,الکوس|الکوس
الوای(پهلوان زابلی),الوای|الوا
الوای(نیزه‌دار رستم),الوای
الیاس پسر مهراس,الیاس پسر مهراس
امیرک منصور,امیرک منصور
اندریمان,اندریمان|اندریمان|اندیرمان یا اندیدمان
اندمان,اندمان
اندبان(پهلوان دوره خسرو‌پرویز),اندبان
اوخواست,اوخواست|اخواست|اخواشت
اورمزد پسر شاپور,اورمزد پسر شاپور
هرمز یکم,هرمز یکم
اورمزد بزرگ,اورمزد بزرگ
اولاد,اولاد|اولاد
اهرن,اهرن|اهرن
